时间(s),电容(F),品质因素(Q)
14.961,2.31367e-11,197.42
15.041,2.37347e-11,110.531
15.121,2.36081e-11,111.697
15.201,2.51686e-11,159.006
15.281,2.32016e-11,126.644
15.361,2.13468e-11,112.336
15.441,2.12812e-11,120.645
15.521,2.11674e-11,106.084
15.601,2.32459e-11,127.731
15.681,2.37441e-11,134.393
15.7611,2.37858e-11,124.761
15.8411,2.39967e-11,141.112
15.9211,2.42315e-11,129.238
16.0011,2.12723e-11,97.204
16.0811,2.12529e-11,114.576
16.1611,2.1192e-11,91.1378
16.2411,2.34122e-11,107.554
16.3211,2.37438e-11,126.122
16.4011,2.41721e-11,107.078
16.4811,2.33287e-11,106.234
16.5611,2.17376e-11,95.1182
16.6411,2.12801e-11,122.522
16.7211,2.12436e-11,110.445
16.8011,2.12028e-11,133.431
16.8811,2.37261e-11,111.983
16.9611,2.36818e-11,142.001
17.0411,2.487e-11,123.28
17.1211,2.31392e-11,109.899
17.2011,2.13759e-11,119.478
17.2812,2.12338e-11,112.438
17.3612,2.12059e-11,134.861
17.4412,2.34816e-11,159.723
17.5212,2.38202e-11,162.504
17.6012,2.36626e-11,117.726
17.6812,2.48918e-11,119.457
17.7612,2.40912e-11,116.93
17.8412,2.13331e-11,136.845
17.9212,2.12616e-11,104.049
18.0012,2.11759e-11,120.377
18.0812,2.20556e-11,116.415
18.1612,2.37029e-11,108.42
18.2412,2.37164e-11,129.463
18.3212,2.43999e-11,149.105
18.4012,2.42011e-11,136.137
18.4812,2.1276e-11,141.361
18.5612,2.12253e-11,97.7955
18.6412,2.12396e-11,104.493
18.7212,2.20878e-11,127.156
18.8013,2.36302e-11,124.252
18.8813,2.38091e-11,120.975
18.9613,2.41226e-11,145.131
19.0413,2.26171e-11,122.194
19.1213,2.12434e-11,127.001
19.2013,2.12412e-11,136.068
19.2813,2.17951e-11,101.852
19.3613,2.33743e-11,135.58
19.4413,2.35685e-11,115.018
19.5213,2.53432e-11,169.055
19.6013,2.34861e-11,127.488
19.6813,2.13295e-11,99.8592
19.7613,2.12025e-11,118.423
19.8413,2.11952e-11,100.247
19.9213,2.29125e-11,147.909
20.0013,2.38421e-11,151.952
20.0813,2.37033e-11,144.608
20.1613,2.43089e-11,151.648
20.2413,2.41578e-11,113.298
20.3214,2.12861e-11,127.889
20.4014,2.1272e-11,100.532
20.4814,2.11909e-11,136.896
20.5614,2.20802e-11,106.949
20.6414,2.36665e-11,138.753
20.7214,2.3694e-11,171.22
20.8014,2.49015e-11,109.696
20.8814,2.40956e-11,126.137
20.9614,2.12764e-11,120.125
21.0414,2.12674e-11,136.442
21.1214,2.12286e-11,103.202
21.2014,2.19518e-11,126.726
21.2814,2.36886e-11,151.048
21.3614,2.36566e-11,116.524
21.4414,2.45602e-11,113.401
21.5214,2.41607e-11,118.726
21.6014,2.13007e-11,96.2716
21.6814,2.11942e-11,116.119
21.7615,2.11736e-11,113.206
21.8415,2.19811e-11,111.315
21.9215,2.36565e-11,102.503
22.0015,2.37912e-11,162.363
22.0815,2.407e-11,120.299
22.1615,2.26882e-11,123.091
22.2415,2.12947e-11,137.107
22.3215,2.12585e-11,128.536
22.4015,2.17568e-11,109.577
22.4815,2.33717e-11,108.428
22.5615,2.36575e-11,112.347
22.6415,2.37505e-11,141.821
22.7215,2.38993e-11,115.482
22.8015,2.39201e-11,120.584
22.8815,2.12596e-11,102.17
22.9615,2.12557e-11,101.042
23.0415,2.13938e-11,126.767
23.1215,2.31004e-11,117.088
23.2015,2.36841e-11,107.162
23.2816,2.43429e-11,144.14
23.3616,2.18543e-11,145.673
23.4416,2.1417e-11,130.264
23.5216,2.12241e-11,101.38
23.6016,2.11938e-11,142.155
23.6816,2.12195e-11,144.241
23.7616,2.39319e-11,116.833
23.8416,2.3657e-11,139.166
23.9216,2.51312e-11,130.813
24.0016,2.41101e-11,133.98
24.0816,2.12922e-11,110.199
24.1616,2.12597e-11,118.72
24.2416,2.11718e-11,102.441
24.3216,2.20428e-11,114.545
24.4016,2.37401e-11,123.766
24.4816,2.37368e-11,118.464
24.5616,2.39473e-11,125.868
24.6416,2.42709e-11,101.799
24.7216,2.12998e-11,148.737
24.8017,2.12504e-11,112.811
24.8817,2.11637e-11,108.783
24.9617,2.34416e-11,113.629
25.0417,2.36608e-11,102.936
25.1217,2.36779e-11,112.489
25.2017,2.39914e-11,117.238
25.2817,2.33829e-11,105.937
25.3617,2.12717e-11,101.279
25.4417,2.12332e-11,141.325
25.5217,2.12312e-11,121.047
25.6017,2.34065e-11,126.473
25.6817,2.36038e-11,114.241
25.7617,2.40596e-11,158.19
25.8417,2.34007e-11,148.412
25.9217,2.16263e-11,114.49
26.0017,2.12337e-11,130.721
26.0817,2.12019e-11,119.893
26.1617,2.12285e-11,97.1242
26.2417,2.39036e-11,126.789
26.3218,2.3588e-11,101.75
26.4018,2.43853e-11,108.056
26.4818,2.15833e-11,116.429
26.5618,2.13564e-11,140.339
26.6418,2.12438e-11,133.004
26.7218,2.11766e-11,122.115
26.8018,2.34083e-11,135.336
26.8818,2.37189e-11,132.081
26.9618,2.36883e-11,111.33
