时间(s),电容(F),品质因素(Q)
14.961,2.32292e-11,109.017
15.041,2.38589e-11,117.931
15.121,2.64747e-11,136.759
15.201,2.56274e-11,146.895
15.281,2.31189e-11,137.717
15.361,2.55569e-11,131.284
15.441,2.66899e-11,140.954
15.521,2.33012e-11,119.987
15.601,2.3272e-11,126.146
15.681,2.61391e-11,140.977
15.7611,2.6541e-11,163.801
15.8411,2.30965e-11,142.722
15.9211,2.57278e-11,155.908
16.0011,2.65072e-11,134.637
16.0811,2.33009e-11,136.633
16.1611,2.33017e-11,130.443
16.2411,2.60087e-11,183.244
16.3211,2.57133e-11,117.824
16.4011,2.31553e-11,108.835
16.4811,2.50666e-11,113.672
16.5611,2.68627e-11,165.146
16.6411,2.34846e-11,127.906
16.7211,2.31316e-11,114.183
16.8011,2.57161e-11,151.385
16.8811,2.57668e-11,110.036
16.9611,2.31946e-11,144.14
17.0411,2.39751e-11,113.35
17.1211,2.70771e-11,167.373
17.2011,2.34062e-11,108.848
17.2812,2.30632e-11,141.671
17.3612,2.55267e-11,151.661
17.4412,2.52937e-11,105.444
17.5212,2.31635e-11,116.237
17.6012,2.51572e-11,132.779
17.6812,2.70971e-11,117.549
17.7612,2.3365e-11,124.084
17.8412,2.31294e-11,112.007
17.9212,2.63532e-11,116.902
18.0012,2.6526e-11,135.286
18.0812,2.3154e-11,122.405
18.1612,2.55322e-11,106.133
18.2412,2.71468e-11,166.137
18.3212,2.33512e-11,103.445
18.4012,2.30363e-11,121.937
18.4812,2.62382e-11,118.971
18.5612,2.64046e-11,142.864
18.6412,2.3102e-11,141.629
18.7212,2.55747e-11,132.517
18.8013,2.70014e-11,140.576
18.8813,2.33871e-11,110.251
18.9613,2.3077e-11,108.495
19.0413,2.58257e-11,126.804
19.1213,2.51182e-11,148.612
19.2013,2.31433e-11,110.156
19.2813,2.47429e-11,114.202
19.3613,2.70654e-11,162.021
19.4413,2.34781e-11,115.988
19.5213,2.31019e-11,107.348
19.6013,2.55546e-11,121.889
19.6813,2.53201e-11,129.057
19.7613,2.31694e-11,142.665
19.8413,2.40062e-11,134.24
19.9213,2.65181e-11,160.285
20.0013,2.53657e-11,155.626
20.0813,2.31484e-11,133.081
20.1613,2.58913e-11,113.519
20.2413,2.51365e-11,141.705
20.3214,2.31799e-11,117.641
20.4014,2.49961e-11,142.358
20.4814,2.70715e-11,155.245
20.5614,2.33638e-11,119.333
20.6414,2.31342e-11,114.729
20.7214,2.56694e-11,127.681
20.8014,2.58965e-11,160.488
20.8814,2.32168e-11,111.219
20.9614,2.40025e-11,143.806
21.0414,2.66202e-11,111.717
21.1214,2.32527e-11,158.609
21.2014,2.34183e-11,121.353
21.2814,2.6892e-11,124.546
21.3614,2.5122e-11,139.058
21.4414,2.31276e-11,113.869
21.5214,2.55826e-11,135.722
21.6014,2.54223e-11,142.724
21.6814,2.32036e-11,108.879
21.7615,2.50771e-11,118.898
21.8415,2.63852e-11,116.572
21.9215,2.3296e-11,116.449
22.0015,2.31987e-11,139.48
22.0815,2.59372e-11,144.005
22.1615,2.66484e-11,138.507
22.2415,2.3126e-11,104.742
22.3215,2.54047e-11,138.977
22.4015,2.63835e-11,124.972
22.4815,2.32658e-11,139.341
22.5615,2.34094e-11,141.332
22.6415,2.63476e-11,119.623
22.7215,2.44385e-11,115.101
22.8015,2.30997e-11,104.401
22.8815,2.55161e-11,117.709
22.9615,2.52725e-11,162.817
23.0415,2.31708e-11,141.262
23.1215,2.40873e-11,128.253
23.2015,2.66686e-11,111.662
23.2816,2.44133e-11,148.824
23.3616,2.31042e-11,99.7327
23.4416,2.58791e-11,138.047
23.5216,2.6152e-11,126.06
23.6016,2.3221e-11,134.891
23.6816,2.37637e-11,101.532
23.7616,2.64901e-11,152.977
23.8416,2.58865e-11,122.432
23.9216,2.31292e-11,109.93
24.0016,2.53965e-11,134.751
24.0816,2.69625e-11,161.235
24.1616,2.33372e-11,123.648
24.2416,2.30981e-11,122.764
24.3216,2.58432e-11,135.939
24.4016,2.5877e-11,135.477
24.4816,2.31948e-11,118.522
24.5616,2.513e-11,141.812
24.6416,2.69285e-11,132.019
24.7216,2.3333e-11,128.603
24.8017,2.31776e-11,106.289
24.8817,2.60132e-11,127.776
24.9617,2.53554e-11,126.656
25.0417,2.31897e-11,137.033
25.1217,2.51015e-11,112.985
25.2017,2.69817e-11,147.993
25.2817,2.3304e-11,112.893
25.3617,2.31246e-11,110.51
25.4417,2.61841e-11,122.786
25.5217,2.67608e-11,161.798
25.6017,2.31865e-11,147.84
25.6817,2.51742e-11,122.954
25.7617,2.69977e-11,149.867
25.8417,2.33014e-11,145.314
25.9217,2.31315e-11,127.722
26.0017,2.6326e-11,171.586
26.0817,2.56803e-11,151.821
26.1617,2.31381e-11,109.224
26.2417,2.57882e-11,111.704
26.3218,2.60337e-11,144.178
26.4018,2.31761e-11,118.008
26.4818,2.33097e-11,146.484
26.5618,2.68822e-11,149.808
26.6418,2.36437e-11,111.337
26.7218,2.30641e-11,114.563
26.8018,2.55257e-11,144.653
26.8818,2.53445e-11,156.69
26.9618,2.32254e-11,117.437
27.0418,2.38496e-11,140.875
27.1218,2.68835e-11,126.505
27.2018,2.43606e-11,112.175
27.2818,2.30953e-11,104.933
27.3618,2.57437e-11,154.912
27.4418,2.54672e-11,148.376
27.5218,2.31545e-11,113.564
27.6018,2.39348e-11,114.623
27.6818,2.69266e-11,136.248
27.7619,2.32761e-11,131.702
27.8419,2.30691e-11,106.149
27.9219,2.61705e-11,116.294
28.0019,2.66584e-11,155.233
28.0819,2.31216e-11,103.444
28.1619,2.53353e-11,163.349
28.2419,2.61125e-11,123.534
28.3219,2.32301e-11,104.564
28.4019,2.33487e-11,121.24
28.4819,2.70046e-11,130.931
28.5619,2.33494e-11,112.595
28.6419,2.30429e-11,108.57
28.7219,2.57009e-11,146.931
28.8019,2.54508e-11,142.358
28.8819,2.3203e-11,103.491
28.9619,2.4012e-11,142.05
29.0419,2.6647e-11,151.854
29.1219,2.45795e-11,127.501
29.2019,2.30643e-11,110.72
29.282,2.56738e-11,131.265
29.362,2.52205e-11,128.928
29.442,2.31349e-11,128.486
29.522,2.47496e-11,119.655
29.602,2.68759e-11,124.636
29.682,2.32509e-11,123.908
29.762,2.32944e-11,105.371
29.842,2.64605e-11,155.817
29.922,2.55542e-11,119.437
30.002,2.31138e-11,108.005
30.082,2.57848e-11,129.326
30.162,2.62823e-11,166.796
30.242,2.32286e-11,108.583
30.322,2.33666e-11,156.637
30.402,2.65884e-11,136.229
30.482,2.34736e-11,107.588
30.562,2.30977e-11,115.582
30.642,2.59199e-11,125.854
30.722,2.62858e-11,121.616
30.8021,2.32636e-11,105.409
30.8821,2.33003e-11,109.514
30.9621,2.70615e-11,139.989
31.0421,2.47663e-11,145.126
31.1221,2.31108e-11,139.479
31.2021,2.55017e-11,122.566
31.2821,2.51071e-11,118.358
31.3621,2.31763e-11,106.995
31.4421,2.52049e-11,121.189
31.5221,2.6986e-11,137.603
31.6021,2.33153e-11,129.559
31.6821,2.30825e-11,131.314
31.7621,2.63848e-11,121.393
31.8421,2.65857e-11,118.316
31.9221,2.31301e-11,111.5
32.0021,2.57014e-11,151.332
32.0821,2.57312e-11,119.477
32.1621,2.31915e-11,111.859
32.2421,2.40058e-11,108.211
32.3222,2.69259e-11,160.18
32.4022,2.3278e-11,105.868
32.4822,2.30908e-11,131.168
32.5622,2.67712e-11,135.342
32.6422,2.51589e-11,118.295
32.7222,2.30529e-11,120.167
32.8022,2.57569e-11,107.955
32.8822,2.52274e-11,112.935
32.9622,2.31831e-11,96.9425
33.0422,2.41256e-11,138.362
33.1222,2.70424e-11,130.112
33.2022,2.34061e-11,114.159
33.2822,2.30566e-11,116.882
33.3622,2.59273e-11,141.871
33.4422,2.65716e-11,137.113
33.5222,2.31273e-11,124.152
33.6022,2.58379e-11,144.569
33.6822,2.59665e-11,116.272
33.7623,2.32064e-11,100.302
33.8423,2.33985e-11,115.081
33.9223,2.68211e-11,158.217
34.0023,2.3394e-11,137.195
34.0823,2.30838e-11,121.469
34.1623,2.59568e-11,125.838
34.2423,2.67467e-11,141.652
34.3223,2.31413e-11,123.504
34.4023,2.57024e-11,148.492
34.4823,2.51945e-11,151.742
34.5623,2.3165e-11,118.295
34.6423,2.42896e-11,108.421
34.7223,2.69815e-11,159.451
34.8023,2.33762e-11,137.26
34.8823,2.30876e-11,121.584
34.9623,2.60542e-11,136.66
35.0423,2.6633e-11,133.634
35.1223,2.31222e-11,117.972
35.2023,2.55266e-11,158.791
35.2824,2.62e-11,118.864
35.3624,2.32489e-11,117.668
35.4424,2.34094e-11,108.678
35.5224,2.62886e-11,122.236
35.6024,2.64541e-11,135.679
35.6824,2.31232e-11,114.827
35.7624,2.54541e-11,143.643
35.8424,2.57567e-11,130.546
35.9224,2.31849e-11,122.453
36.0024,2.33029e-11,144.507
36.0824,2.6468e-11,125.439
36.1624,2.3987e-11,103.787
36.2424,2.3073e-11,135.249
36.3224,2.55385e-11,151.842
36.4024,2.68725e-11,133.615
36.4824,2.3119e-11,114.601
36.5624,2.52545e-11,121.298
36.6424,2.61114e-11,141.821
36.7224,2.32426e-11,112.298
36.8025,2.33697e-11,105.841
36.8825,2.66425e-11,157.151
36.9625,2.56691e-11,117.62
37.0425,2.31169e-11,106.142
37.1225,2.5724e-11,139.56
37.2025,2.51455e-11,140.825
37.2825,2.31628e-11,136.81
37.3625,2.46674e-11,115.476
37.4425,2.68854e-11,109.653
37.5225,2.33129e-11,113.547
37.6025,2.31512e-11,125.846
37.6825,2.59902e-11,137.654
37.7625,2.68477e-11,124.746
37.8425,2.31017e-11,111.533
37.9225,2.55927e-11,128.072
38.0025,2.60938e-11,152.313
38.0825,2.3247e-11,138.651
38.1625,2.33562e-11,128.697
38.2425,2.62224e-11,166.251
38.3226,2.66156e-11,132.535
38.4026,2.31434e-11,121.202
38.4826,2.56779e-11,159.152
38.5626,2.53737e-11,122.12
38.6426,2.32189e-11,132.436
38.7226,2.42603e-11,131.142
